id,name,salary
979,Doralynne Claricoats,1220
980,Benito Issacov,1019
981,Maisey Westfield,1172
982,Ramon Greschke,1169
983,Algernon Gillino,1015
984,Lilith Gooddie,1004
985,Sydney Whiles,1004
986,Ethyl Brigge,1096
987,Spense Orrill,1150
988,Ashia McFfaden,1023
989,Elsbeth Probey,1164
990,Juditha Hardiman,1188
991,Shea Hardwidge,1146
992,Westleigh Kryzhov,1109
993,Francisca Renforth,1122
994,Shari Labrum,1224
995,Gregorio Eborall,1129
996,Miriam Cockayme,1167
997,Avivah Ebourne,1205
998,Ramon Prangle,1188
999,Rory Cottell,1192
1000,Theodosia Bocken,1101
